0.000000000000000000e+00 -1.431725986425725133e-07 8.981427738330764595e-08 1.297513751741161642e-07
6.205615118202060382e-02 3.388665592508128266e-01 3.388671712109520007e-01 4.153226842157267673e-01
1.241123023640412076e-01 6.762401331867109455e-01 6.762412261232646493e-01 8.312465366261102551e-01
1.861684535460618184e-01 1.010639025008926994e+00 1.010640368823367163e+00 1.248272365306537068e+00
2.482246047280824153e-01 1.340603890326057979e+00 1.340605211095037275e+00 1.666706598251289861e+00
3.102807559101030122e-01 1.664708358041853353e+00 1.664709402195965859e+00 2.086579296159862373e+00
3.723369070921236368e-01 1.981569002224912834e+00 1.981569593045837685e+00 2.507578712364209483e+00
4.343930582741442059e-01 2.289854477175008451e+00 2.289854549560689456e+00 2.929005406521278498e+00
4.964492094561648305e-01 2.588293257339741249e+00 2.588293651603089884e+00 3.349747313714181551e+00
5.585053606381854552e-01 2.875681890474687918e+00 2.875682606492104387e+00 3.768275678383431249e+00
6.205615118202060243e-01 3.150889549726026750e+00 3.150890394128890382e+00 4.182660532562977096e+00
6.826176630022265934e-01 3.412862709061156519e+00 3.412863492173781488e+00 4.590603504563293136e+00
7.446738141842472736e-01 3.660628344424691427e+00 3.660628925493784269e+00 4.989485193310790656e+00
8.067299653662678427e-01 3.893295754699551914e+00 3.893296068715469183e+00 5.376424092059598259e+00
8.687861165482884118e-01 4.110057122095228443e+00 4.110057182814061072e+00 5.748344024980863054e+00
9.308422677303090920e-01 4.310186778201259727e+00 4.310186897192375355e+00 6.102047198038210496e+00
9.928984189123296611e-01 4.493039933292656940e+00 4.493040131435570572e+00 6.434290196847971544e+00
1.054954570094350341e+00 4.658049729996266208e+00 4.658049915164356847e+00 6.741860539083263326e+00
1.117010721276370910e+00 4.804723994575981649e+00 4.804724109978128155e+00 7.021651673625854073e+00
1.179066872458391479e+00 4.932641552633403315e+00 4.932641587896101854e+00 7.270734593248462829e+00
1.241123023640412049e+00 5.041448204276348655e+00 5.041448219432399291e+00 7.486424482760861032e+00
1.303179174822432618e+00 5.130852735401756348e+00 5.130852750647384219e+00 7.666341057880097232e+00
1.365235326004453187e+00 5.200622973374151137e+00 5.200623004602047850e+00 7.808461463206771924e+00
1.427291477186473978e+00 5.250582302827148773e+00 5.250582403338343696e+00 7.911164794088921148e+00
1.489347628368494547e+00 5.280606826924821640e+00 5.280606987230662241e+00 7.973267490795776347e+00
1.551403779550515116e+00 5.290623109751289022e+00 5.290623293449505660e+00 7.994049027968952892e+00
1.619966787855428247e+00 5.281363730028002301e+00 5.316393016411139705e+00 7.984162262586629311e+00
1.688529796160341157e+00 5.253670325180340939e+00 5.391547216022760658e+00 7.954514314033404254e+00
1.757092804465254288e+00 5.207797341450866924e+00 5.509984835482714338e+00 7.905143450933970861e+00
1.825655812770167419e+00 5.144163276232227133e+00 5.662616427449942869e+00 7.836117448239767747e+00
1.894218821075080328e+00 5.063343083323329274e+00 5.838583192763334040e+00 7.747539262922314762e+00
1.962781829379993459e+00 4.966057534355771352e+00 6.026410974574701207e+00 7.639554375163917221e+00
2.031344837684906590e+00 4.853159949460120970e+00 6.214904558317166483e+00 7.512359244177575057e+00
2.099907845989819499e+00 4.725620574148166497e+00 6.393735882484310018e+00 7.366210236861968852e+00
2.163243640071887075e+00 4.646570937564958648e+00 6.452892641892335135e+00 7.291780597014098753e+00
2.226579434153954207e+00 4.553909620714142292e+00 6.424875480655626525e+00 7.258817993105405542e+00
2.289915228236021782e+00 4.449353440728874176e+00 6.295446319707466820e+00 7.283903329663373505e+00
2.353251022318088914e+00 4.334911262402015630e+00 6.085838282520301235e+00 7.348933965419925052e+00
2.416586816400156490e+00 4.212909952887812892e+00 5.823186273706062011e+00 7.430750077264884013e+00
2.479922610482223622e+00 4.086016865306526746e+00 5.525912739918475758e+00 7.515839352233267157e+00
2.543258404564291197e+00 3.957253468233626226e+00 5.206698922820121034e+00 7.597504982146229047e+00
2.606594198646358329e+00 3.829991871716724727e+00 4.876171671166117605e+00 7.672382367491698218e+00
2.669929992728425905e+00 3.707922533137425258e+00 4.544910556057947915e+00 7.738707446998208006e+00
2.733265786810493037e+00 3.594978235497899188e+00 4.224560014290516641e+00 7.795531058996890472e+00
2.796601580892560612e+00 3.495198519540145377e+00 3.928487354284712296e+00 7.842344530030032068e+00
2.859937374974627744e+00 3.412523373435520924e+00 3.671976299902790952e+00 7.878885869441978329e+00
2.923273169056695320e+00 3.350518623652404937e+00 3.471602444619112049e+00 7.905030931026143293e+00
2.986608963138762896e+00 3.312058889977892218e+00 3.343293709155073845e+00 7.920728668213560475e+00
3.049944757220830027e+00 3.299021144570967401e+00 3.299021144571228970e+00 7.925962364337360455e+00
3.111015442885281868e+00 3.291078157554641059e+00 3.291078157554900407e+00 7.902768228878059631e+00
3.172086128549733708e+00 3.267268145699637305e+00 3.267268145699885551e+00 7.833434853154637167e+00
3.233156814214185104e+00 3.227648893103396421e+00 3.227648893103668204e+00 7.718702801063048291e+00
3.294227499878636944e+00 3.172319774526435765e+00 3.172319774526818570e+00 7.559784783852029122e+00
3.355298185543088785e+00 3.101426164588442447e+00 3.101426164588938938e+00 7.358334008939728221e+00
3.416368871207540625e+00 3.015165218745716746e+00 3.015165218746225673e+00 7.116401242899935475e+00
3.477439556871992465e+00 2.913792643693183138e+00 2.913792643693619677e+00 6.836381942699376602e+00
3.538510242536444306e+00 2.797630014630509976e+00 2.797630014630847484e+00 6.520955165895960803e+00
3.599580928200896146e+00 2.667072186021154589e+00 2.667072186021452129e+00 6.173016302089329166e+00
