0.000000000000000000e+00 -4.810917300000000160e-03 -3.887363200000000085e-03 7.250158500000000207e-03 3.413723020299999966e+00 3.413723020299999966e+00 4.722556688000000058e+00 4.722556688000000058e+00 6.433820569299999903e+00 9.492717170700000651e+00 9.824408293599999453e+00 1.132734561030000009e+01 1.225894000679999962e+01 1.421274306239999952e+01 1.481636083489999933e+01 1.599178380270000055e+01 1.826273835539999979e+01 1.826273835539999979e+01 2.484417768539999827e+01
3.696000000000000067e-03 1.198931696999999963e-01 1.960366592999999991e-01 3.360539869999999985e-01 3.424975352700000197e+00 3.432992762700000089e+00 4.722621253599999847e+00 4.731829119200000378e+00 6.439230878800000113e+00 9.495788689299999419e+00 9.826302350400000662e+00 1.132084389279999925e+01 1.226131296460000009e+01 1.421681162900000039e+01 1.481634827699999946e+01 1.596029356829999912e+01 1.826260569289999935e+01 1.829381257520000048e+01 2.484179547360000129e+01
7.392000000000000133e-03 2.407440647999999905e-01 3.916276383000000250e-01 6.717125702999999781e-01 3.458201592800000057e+00 3.490020730499999946e+00 4.722882848000000244e+00 4.759502209999999955e+00 6.455497614299999576e+00 9.505024065900000707e+00 9.831967845399999462e+00 1.130214348029999982e+01 1.226792227560000015e+01 1.422882848319999916e+01 1.481630481630000062e+01 1.587074571039999960e+01 1.826220534060000134e+01 1.838211867540000100e+01 2.483474646599999858e+01
1.108800000000000063e-02 3.640591722000000030e-01 5.861274235000000221e-01 1.006508490100000097e+00 3.511865396700000197e+00 3.582588732800000120e+00 4.723555114699999891e+00 4.805151781500000219e+00 6.482694991599999845e+00 9.520484289500000585e+00 9.841355250499999485e+00 1.127345874639999934e+01 1.227743206389999919e+01 1.424824393719999982e+01 1.481621336469999939e+01 1.573484506369999991e+01 1.826153036450000045e+01 1.851597100240000060e+01 2.482331948590000081e+01
1.478400000000000027e-02 4.905775777999999976e-01 7.790066187999999947e-01 1.340027321900000068e+00 3.583568227899999847e+00 3.707373120699999802e+00 4.725029998200000136e+00 4.868097818499999896e+00 6.520839814500000386e+00 9.542266179100000301e+00 9.854383654799999448e+00 1.123794840559999919e+01 1.228812535019999963e+01 1.427419633090000062e+01 1.481604633459999931e+01 1.556549952529999992e+01 1.826056973609999901e+01 1.868249468839999849e+01 2.480798251970000123e+01
1.848009999999999931e-02 6.207320826000000125e-01 9.697129442999999904e-01 1.671858808499999904e+00 3.670218562100000081e+00 3.860373637299999938e+00 4.727941685000000227e+00 4.947441165699999921e+00 6.569744353699999984e+00 9.570495432799999591e+00 9.870943139799999599e+00 1.119924601890000027e+01 1.229834345449999944e+01 1.430558762669999950e+01 1.481576691409999924e+01 1.537348275499999950e+01 1.825930908349999982e+01 1.887096447549999922e+01 2.478936315820000047e+01
2.217610000000000067e-02 7.546479562000000252e-01 1.157676503600000073e+00 2.001602866699999872e+00 3.768153080599999871e+00 4.037326207299999581e+00 4.733278297500000065e+00 5.042108364299999756e+00 6.628836574700000206e+00 9.605317458300000055e+00 9.890897948999999301e+00 1.116115207190000014e+01 1.230675808610000033e+01 1.434117667639999993e+01 1.481533072649999916e+01 1.516676625510000065e+01 1.825773166990000007e+01 1.907347463989999881e+01 2.476822224940000083e+01
2.587209999999999857e-02 8.922167278000000534e-01 1.342307253800000044e+00 2.328871874299999867e+00 3.873146555599999985e+00 4.234026261500000388e+00 4.742564553700000296e+00 5.150899908100000424e+00 6.696973374899999776e+00 9.646886504799999429e+00 9.914090310400000661e+00 1.112750211190000016e+01 1.231246444209999957e+01 1.437967844709999987e+01 1.481468775589999964e+01 1.495102243450000046e+01 1.825581952790000173e+01 1.928443828869999876e+01 2.474542177949999910e+01
2.956809999999999994e-02 1.033184144600000076e+00 1.522993417999999988e+00 2.653291961799999932e+00 3.980280923600000076e+00 4.446539392500000076e+00 4.758128981499999632e+00 5.272537766100000134e+00 6.772279105700000024e+00 9.695353706300000596e+00 9.940344738800000357e+00 1.110214531229999935e+01 1.231495761539999911e+01 1.441985729830000018e+01 1.473030629239999989e+01 1.481378439450000073e+01 1.825355466939999971e+01 1.949990824809999879e+01 2.472188826460000044e+01
3.326409999999999784e-02 1.177226735999999940e+00 1.699103093399999986e+00 2.974503561000000129e+00 4.083747122600000168e+00 4.671311346399999564e+00 4.783384854900000427e+00 5.405709213399999769e+00 6.852047613999999953e+00 9.750854704700000042e+00 9.969472631800000428e+00 1.108895427370000064e+01 1.231405713250000034e+01 1.446060472019999921e+01 1.450759649349999947e+01 1.481256545089999932e+01 1.825092028370000108e+01 1.971703881899999899e+01 2.469857315759999850e+01
3.696010000000000267e-02 1.324006726199999928e+00 1.869990283799999986e+00 3.292161246200000058e+00 4.176943565900000266e+00 4.822772905099999896e+00 4.905203871600000376e+00 5.549105522299999649e+00 6.932749894699999693e+00 9.813497541300000293e+00 1.000127696220000040e+01 1.109179681900000070e+01 1.230982149179999929e+01 1.428516348620000009e+01 1.450099824169999962e+01 1.481097595349999985e+01 1.824790183280000022e+01 1.993371866940000103e+01 2.467641196250000135e+01
4.065610000000000057e-02 1.473204598499999962e+00 2.035005731600000090e+00 3.605932897399999781e+00 4.253634961100000389e+00 4.880615705700000362e+00 5.145482734599999830e+00 5.701455762700000207e+00 7.010186649999999631e+00 9.883351495199999448e+00 1.003555687110000072e+01 1.111441415980000080e+01 1.230247322630000006e+01 1.406481262159999979e+01 1.454033411970000067e+01 1.480896258589999981e+01 1.824448795529999856e+01 2.014833316600000046e+01 2.465628385260000144e+01
