0.000000000000000000e+00 -3.700895030000000280e-02 -3.700895030000000280e-02 -2.279636789999999955e-02 4.608453231100000380e+00 4.608453231100000380e+00 7.391290374099999561e+00
3.043899999999999991e-03 7.067831759999999852e-02 7.067833480000000612e-02 1.311603536000000014e-01 4.607823383300000408e+00 4.607823383300000408e+00 7.390421646800000133e+00
6.087699999999999709e-03 1.551854555000000135e-01 1.551854867999999943e-01 2.652255488999999966e-01 4.605938674699999957e+00 4.605938674799999966e+00 7.387820262400000004e+00
9.131600000000000134e-03 2.363625151000000035e-01 2.363625608999999905e-01 3.985288177999999903e-01 4.602813504000000222e+00 4.602813504400000255e+00 7.383500523100000379e+00
1.217550000000000056e-02 3.167161923999999851e-01 3.167162526000000256e-01 5.315185077999999841e-01 4.598471519100000293e+00 4.598471519600000335e+00 7.377485969200000326e+00
1.521929999999999984e-02 3.966764184000000082e-01 3.966764924999999775e-01 6.642427213999999580e-01 4.592945098799999570e+00 4.592945099599999637e+00 7.369808939600000386e+00
1.826320000000000027e-02 4.763665552999999941e-01 4.763666427000000092e-01 7.966836389000000462e-01 4.586274645099999603e+00 4.586274646299999702e+00 7.360509972500000053e+00
2.130709999999999896e-02 5.558255280999999659e-01 5.558256282000000326e-01 9.288044118999999599e-01 4.578507699300000233e+00 4.578507700900000366e+00 7.349637056799999790e+00
2.435090000000000171e-02 6.350614507999999825e-01 6.350615628000000346e-01 1.060560735099999929e+00 4.569697903199999800e+00 4.569697905199999965e+00 7.337244753700000288e+00
2.739480000000000040e-02 7.140692100000000098e-01 7.140693328999999645e-01 1.191904590500000083e+00 4.559903828600000431e+00 4.559903831099999749e+00 7.323393207199999644e+00
3.043859999999999968e-02 7.928373995999999924e-01 7.928375326000000056e-01 1.322785631199999923e+00 4.549187702300000247e+00 4.549187705199999598e+00 7.308147067100000172e+00
3.348249999999999837e-02 8.713513963000000251e-01 8.713515383000000059e-01 1.453151693699999969e+00 4.537614055499999743e+00 4.537614059000000033e+00 7.291574348400000183e+00
3.652640000000000053e-02 9.495948121999999714e-01 9.495949621999999479e-01 1.582948934300000055e+00 4.525248331600000284e+00 4.525248335599999727e+00 7.273745253499999563e+00
3.957019999999999982e-02 1.027550181999999923e+00 1.027550338700000010e+00 1.712121783800000019e+00 4.512155482399999862e+00 4.512155486900000234e+00 7.254730985400000165e+00
4.261410000000000198e-02 1.105199251099999946e+00 1.105199413500000061e+00 1.840612805599999957e+00 4.498398589699999839e+00 4.498398594700000253e+00 7.234602577999999617e+00
4.565799999999999720e-02 1.182523039999999970e+00 1.182523206800000004e+00 1.968362501699999934e+00 4.484037544000000430e+00 4.484037549399999989e+00 7.213429770200000313e+00
4.870180000000000342e-02 1.259501773099999999e+00 1.259501943200000085e+00 2.095309088800000108e+00 4.469127812199999994e+00 4.469127818099999594e+00 7.191279951800000347e+00
5.174569999999999864e-02 1.336114726099999928e+00 1.336114898199999956e+00 2.221388263200000157e+00 4.453719325999999867e+00 4.453719332300000389e+00 7.168217202500000163e+00
5.478960000000000080e-02 1.412340021199999907e+00 1.412340194200000010e+00 2.346532963100000035e+00 4.437855515599999912e+00 4.437855522299999578e+00 7.144301449300000328e+00
5.783340000000000009e-02 1.488154393699999911e+00 1.488154566499999998e+00 2.470673138800000057e+00 4.421572513200000110e+00 4.421572520199999801e+00 7.119587759199999866e+00
6.087730000000000224e-02 1.563532945099999960e+00 1.563533116599999939e+00 2.593735533899999890e+00 4.404898544299999941e+00 4.404898551599999657e+00 7.094125787100000302e+00
6.392119999999999747e-02 1.638448893100000081e+00 1.638449062400000100e+00 2.715643482900000016e+00 4.387853520900000248e+00 4.387853528399999981e+00 7.067959390899999583e+00
6.696499999999999675e-02 1.712873328099999926e+00 1.712873494099999894e+00 2.836316722999999929e+00 4.370448844600000271e+00 4.370448852300000020e+00 7.041126427500000062e+00
7.000889999999999891e-02 1.786774979800000107e+00 1.786775141699999958e+00 2.955671218400000022e+00 4.352687425000000054e+00 4.352687432599999795e+00 7.013658738700000228e+00
7.305280000000000107e-02 1.860119996799999953e+00 1.860120153700000056e+00 3.073618988899999849e+00 4.334563910800000031e+00 4.334563918499999779e+00 6.985582335000000143e+00
7.609660000000000035e-02 1.932871736100000071e+00 1.932871887399999933e+00 3.190067931200000206e+00 4.316065132500000345e+00 4.316065140000000078e+00 6.956917786100000001e+00
7.914050000000000251e-02 2.004990559599999944e+00 2.004990704499999943e+00 3.304921615500000076e+00 4.297170746199999947e+00 4.297170753599999671e+00 6.927680824200000309e+00
8.218430000000000180e-02 2.076433625599999999e+00 2.076433763599999871e+00 3.418079033899999786e+00 4.277854073400000345e+00 4.277854080500000045e+00 6.897883172700000287e+00
8.522820000000000396e-02 2.147154663799999863e+00 2.147154794400000011e+00 3.529434269799999857e+00 4.258083126899999904e+00 4.258083133599999570e+00 6.867533611499999857e+00
8.827210000000000611e-02 2.217103712500000157e+00 2.217103835400000111e+00 3.638876047600000163e+00 4.237821817200000396e+00 4.237821823500000029e+00 6.836639300799999930e+00
9.131590000000000540e-02 2.286226792899999971e+00 2.286226907800000152e+00 3.746287112600000135e+00 4.217031338800000029e+00 4.217031344599999620e+00 6.805207390599999684e+00
9.435979999999999368e-02 2.354465485099999977e+00 2.354465591899999932e+00 3.851543377000000046e+00 4.195671742400000070e+00 4.195671747599999613e+00 6.773246956300000399e+00
9.740369999999999584e-02 2.421756358800000175e+00 2.421756457199999879e+00 3.954512752699999911e+00 4.173703712200000027e+00 4.173703716800000407e+00 6.740771316900000087e+00
